# ra,dec,X,Y,Vx,e_Vx,Vy,e_Vy,source_id,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_pmra_corr,ra_pmdec_corr,dec_pmra_corr,dec_pmdec_corr,pmra_pmdec_corr,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_expected_sig_to_noise,rv_chisq_pvalue,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,pop,Z,err_Z,R,err_R,F378,err_F378,F395,err_F395,F410,err_F410,F430,err_F430,F515,err_F515,F660,err_F660,F861,err_F861,G,err_G,I,err_I,U,err_U,RVcormerg,e_RVcormerg,s_RVcormerg,N,flagXM,flagRV,flagBinary,Gmag,Survey
6.426128,-72.708455,-430.69141,-2259.231399,5.232142,0.043875,-2.982071,0.043252,4688799343027747456,0.5863118078650452,0.036182586,5.25203952918337,0.04387501,-2.947207965244348,0.0432549,-0.06386106,-0.4461809,-0.03410517,0.018799495,0.022734268,0.03306811,0.9472396,16.419167,16.834677,15.842893,,,,,,,,,,,NOT_AVAILABLE,false,false,true,true,5232.796,4.6064,-0.443,1237.8698,0.0418,0.034,0.0181,1.0,15.415999999999999,0.024,16.125,0.018,17.407999999999998,0.051,17.445999999999998,0.206,17.345,0.034,17.366,0.083,16.64,0.015,15.899000000000001,0.017,15.509,0.029,16.942999999999998,0.008,15.675,0.022,17.211000000000002,0.036,,,,,,,,,
6.517848,-72.685629,-529.509329,-2177.798135,5.416111,0.043,-2.516818,0.041711,4688799751045504896,0.21059703140309777,0.03496364,5.43667287341278,0.04299974,-2.472418376958254,0.04171296,-0.04789562,-0.43661705,-0.02190617,0.014612265,-0.11979261,0.022761837,0.979821,16.439379,16.876331,15.843602,,,,,,,,,,,NOT_AVAILABLE,false,false,true,true,5042.4487,4.283,-0.9288,1880.747,0.0124,0.01,0.0054,0.0,15.400999999999998,0.026,16.155,0.018,17.522,0.056,17.605,0.228,17.545,0.047,17.382,0.095,16.707,0.019,15.933,0.018,15.508,0.028,16.999,0.011,15.690000000000001,0.023,17.306,0.046,,,,,,,,,
6.210316,-72.671893,-200.176103,-2126.487884,5.418422,0.033533,-2.675688,0.033578,4688800614338061568,0.2139945638129822,0.02650615,5.426721569234238,0.033533115,-2.6590174844035577,0.033579305,-0.07226534,-0.30070204,-0.051405903,-0.027953304,0.12305877,-0.0085152965,1.033122,15.772989,16.213457,15.162555,,,,,,,,,,,NOT_AVAILABLE,false,false,false,true,,,,,,,,1.0,14.702,0.023,15.469999999999999,0.019,16.831999999999997,0.031,16.930999999999997,0.155,16.817,0.024,16.744,0.065,16.038999999999998,0.014,15.25,0.017,14.823999999999998,0.028,16.346999999999998,0.012,15.007000000000001,0.023,16.61,0.024,,,,,,,,,
6.674593,-72.681804,-697.589276,-2165.62445,5.256692,0.036932,-2.265312,0.032897,4688802744641825408,0.1996959548046028,0.028360516,5.280986988480336,0.036933105,-2.208474645205272,0.032898247,-0.080197535,-0.43980408,0.0075619225,0.06187011,-0.19553639,0.07527911,0.967664,15.853802,16.29588,15.245512,,,,,,,,,,,NOT_AVAILABLE,false,false,true,true,5295.7534,4.1218,-0.5064,2077.1458,0.2951,0.2402,0.1294,1.0,14.795,0.027,15.571000000000002,0.016,16.817,0.029,16.945,0.151,16.921999999999997,0.028,16.852,0.078,16.122,0.012,15.343,0.017,14.916999999999998,0.029,16.432,0.009,15.097000000000001,0.024,16.676000000000002,0.026,,,,,,,,,
6.699032,-72.078745,-748.167369,4.922675,5.307796,0.025514,-2.372515,0.029686,4689630127152838528,0.14433475864917386,0.02371291,5.334107302768949,0.025513487,-2.3128332051745333,0.029686613,-0.0956893,-0.15346567,-0.019483723,0.006222956,0.009667173,0.01455836,1.0003883,15.452147,15.915934,14.822925,,,,,,,,,,,NOT_AVAILABLE,false,false,true,true,5331.086,3.7351,-0.1966,2417.2961,0.409,0.3315,0.1775,1.0,14.373,0.024,15.181999999999999,0.016,16.663999999999998,0.032,16.817999999999998,0.152,16.610999999999997,0.02,16.561,0.064,15.771,0.011,14.942,0.016,14.523,0.032,16.073999999999998,0.012,14.687000000000001,0.022,16.485,0.022,,,,,,,,,
6.784927,-72.055863,-844.352512,86.154755,4.6304,0.113433,-2.595293,0.136486,4689630161512515328,0.3165582197105953,0.10563606,4.662875275960116,0.11342972,-2.536546217667249,0.13648966,0.038485534,-0.075711146,0.027948583,0.0033414373,0.082423694,-0.07540354,3.6765616,16.059248,16.25878,15.256259,,,,,,,,,,,NOT_AVAILABLE,false,false,false,true,,,,,,,,1.0,14.770000000000001,0.024,15.513000000000002,0.016,16.669999999999998,0.028,16.866,0.143,16.787,0.022,16.746000000000002,0.067,16.035999999999998,0.016,15.274999999999999,0.015,14.886,0.023,16.33,0.012,15.060000000000002,0.021,16.535,0.024,,,,,,,,,
6.750226,-72.063122,-805.552875,60.501088,5.126399,0.026027,-2.373806,0.030535,4689630161512538752,0.19396866641437477,0.024185786,5.154705083512917,0.026026443,-2.3117766121580408,0.030535828,-0.09851516,-0.14520593,-0.020514384,0.008299582,0.018638294,0.01838379,1.0213572,15.423933,15.873094,14.810907,,,,,,,,,,,NOT_AVAILABLE,false,false,true,true,5082.689,3.4675,-0.3109,3087.8298,0.1487,0.1199,0.0641,0.0,14.363000000000001,0.022,15.149000000000001,0.014,16.717,0.031,16.644,0.126,16.630000000000003,0.019,16.392,0.056,15.71,0.01,14.893999999999998,0.014,14.495999999999999,0.034,16.009999999999998,0.01,14.669,0.023,16.467000000000002,0.022,,,,,,,,,
6.833569,-72.048948,-898.631824,110.344732,5.446938,0.017828,-2.873506,0.019383,4689630264591709568,0.18868334184590863,0.014929832,5.4851386242085765,0.017827637,-2.799983974576782,0.01938282,-0.11567607,-0.3173286,0.050804414,0.04610665,-0.027314052,-0.119007975,0.94643235,14.299187,14.802928,13.63602,-20.570337,5.585932,2,19,4,5.6409745,,5250.0,0.0,-0.5,NOT_AVAILABLE,false,false,false,true,5641.025,2.8822,-0.0382,5791.1323,0.6723,0.5425,0.2887,1.0,13.171000000000001,0.02,14.021999999999998,0.013,15.73,0.016,15.753,0.086,15.645000000000001,0.01,15.459,0.04,14.658999999999999,0.009,13.757000000000001,0.014,13.332,0.033,14.975999999999999,0.01,13.503,0.022,15.574000000000002,0.012,,,,,,,,,
6.799969,-72.0424,-861.65902,134.405287,4.977532,0.03067,-2.644768,0.037732,4689630333311182080,0.20998583402654966,0.028139688,5.01125141499217,0.030669302,-2.580377446497944,0.037733495,-0.079431504,-0.21274492,0.001834151,0.013224349,0.05067316,-0.044583086,1.0105506,15.742426,16.202433,15.12037,,,,,,,,,,,NOT_AVAILABLE,false,false,true,true,5412.144,3.9604,-0.1561,2000.037,0.435,0.3537,0.1895,0.0,14.691,0.024,15.466000000000001,0.015,16.919,0.031,16.971,0.142,16.904000000000003,0.024,16.752000000000002,0.07,16.057,0.011,15.222000000000001,0.016,14.811,0.033,16.345,0.012,14.972000000000001,0.024,16.66,0.023,,,,,,,,,
6.929049,-72.101547,-1001.711872,-80.501402,5.514956,0.026907,-1.952919,0.035408,4689630402030740224,0.17359958677048734,0.025603794,5.543764204713165,0.026904756,-1.8697774676433505,0.035410024,-0.06392401,-0.15498908,-0.021543728,-0.0014844083,-0.16666536,-0.06068069,0.981638,15.487071,15.952478,14.856415,,,,,,,,,,,NOT_AVAILABLE,false,false,false,true,5685.8335,3.582,-0.1281,3645.2656,0.569,0.4634,0.2475,1.0,14.405,0.025,15.215,0.014,16.653,0.023,16.773,0.149,16.641,0.018,16.557000000000002,0.059,15.79,0.012,14.963000000000001,0.017,14.541999999999998,0.033,16.101,0.011,14.719000000000001,0.022,16.497,0.023,,,,,,,,,
