RA,Dec,pop,Z,err_Z,R,err_R,F378,err_F378,F395,err_F395,F410,err_F410,F430,err_F430,F515,err_F515,F660,err_F660,F861,err_F861,G,err_G,I,err_I,U,err_U,pmra,e_pmra,pmdec,e_pmdec,g,bp,rp,par,e_par,r
6.517961,-72.68564,0.0,15.400999999999998,0.026,16.155,0.018,17.522,0.056,17.605,0.228,17.545,0.047,17.382,0.095,16.707,0.019,15.933,0.018,15.508,0.028,16.999,0.011,15.690000000000001,0.023,17.306,0.046,5.436673,0.043,-2.472418,0.041713,16.439379,16.876331,15.843602,0.210597,0.034964,2241.290376
4.158533,-72.45465,0.0,15.437,0.029,16.161,0.021,17.531,0.057,17.439,0.204,17.538000000000004,0.037,17.38,0.089,16.738,0.017,15.997,0.026,15.555,0.033,17.029,0.016,15.715,0.03,17.308,0.042,5.154438,0.05302,-2.598584,0.048113,16.481865,16.902224,15.889956,0.211506,0.044266,2446.481444
5.945135,-72.33978,1.0,14.284999999999998,0.023,15.116,0.018,16.612,0.045,16.66,0.145,16.430999999999997,0.03,16.457,0.063,15.847000000000001,0.042,14.850000000000001,0.02,14.357,0.048,15.992,0.016,14.608,0.029,16.358,0.043,5.017147,0.031207,-2.812481,0.029865,15.433453,15.876921,14.799806,0.175096,0.026397,934.782589
4.706536,-72.29964,0.0,15.493999999999998,0.032,16.239,0.027,17.517,0.079,17.487,0.233,17.537,0.054,17.213,0.1,16.865,0.04,15.998999999999999,0.021,15.692,0.045,17.018,0.014,15.706,0.031,17.466,0.074,5.363602,0.051406,-2.817728,0.044457,16.53158,16.940075,15.909236,0.175342,0.042471,1649.195519
5.394647,-72.25143,1.0,15.051,0.029,15.756,0.015,16.767999999999997,0.034,16.887999999999998,0.151,16.975,0.027,16.855,0.077,16.235,0.013,15.536000000000001,0.015,15.175999999999998,0.032,16.517,0.01,15.314,0.026,16.650000000000002,0.02,5.969394,0.242464,-2.426433,0.239845,16.496494,16.447205,15.498669,-0.111363,0.201791,925.13512
6.369203,-72.22017,1.0,15.197000000000001,0.026,15.956,0.016,17.325999999999997,0.044,17.634999999999998,0.242,17.286,0.031,17.283,0.087,16.528,0.014,15.706,0.016,15.317,0.028,16.820999999999998,0.012,15.487000000000002,0.027,17.147000000000002,0.037,5.392822,0.045276,-2.282796,0.046809,16.289095,16.724869,15.65777,0.21919,0.038462,628.794805
5.572821,-72.21367,0.0,15.155,0.028,15.907,0.02,17.302999999999997,0.056,17.374,0.196,17.269,0.032,17.173000000000002,0.083,16.455,0.014,15.678999999999998,0.018,15.271,0.039,16.762999999999998,0.012,15.448,0.028,17.151,0.031,5.442688,0.041938,-2.346273,0.03887,16.21074,16.641342,15.607028,0.2212,0.034796,688.946306
6.194991,-72.21223,0.0,15.295,0.029,16.027,0.017,17.430999999999997,0.052,17.461,0.215,17.466,0.037,17.249000000000002,0.089,16.618,0.014,15.788,0.017,15.405999999999999,0.033,16.88,0.01,15.576,0.029,16.992,0.051,5.44551,0.045386,-2.843061,0.044118,16.327171,16.758335,15.738512,0.222435,0.038412,507.984419
6.380048,-72.21033,1.0,15.307,0.025,16.064,0.019,17.063,0.06,17.585,0.236,17.432000000000002,0.041,17.389,0.095,16.648,0.016,15.831,0.02,15.439,0.036,16.931,0.012,15.600999999999999,0.025,17.227,0.041,5.259078,0.048068,-2.019896,0.05051,16.35536,16.788597,15.738596,0.200564,0.043087,608.719346
6.254003,-72.17359,0.0,14.990999999999998,0.025,15.767,0.013,17.209,0.047,17.322,0.201,17.161,0.034,17.05,0.077,16.346,0.011,15.514,0.014,15.126999999999999,0.029,16.59,0.012,15.275000000000002,0.025,17.036,0.041,5.727618,0.04357,-2.383725,0.047093,16.112667,16.501528,15.463339,0.210912,0.039814,418.557496
6.238851,-72.16489,1.0,13.458,0.019,14.285,0.012,15.785999999999998,0.015,15.939,0.095,15.783,0.014,15.675,0.038,14.879000000000001,0.009,14.04,0.012,13.607,0.026,15.171,0.007,13.77,0.019,15.655000000000001,0.016,5.772967,0.061842,-2.792119,0.06778,14.649613,15.059191,13.951789,0.284543,0.060607,383.570869
6.369999,-72.16376,0.0,14.665000000000001,0.022,15.43,0.016,16.834,0.04,16.864,0.154,16.840000000000003,0.023,16.747,0.066,16.029,0.013,15.189,0.017,14.809999999999999,0.029,16.281,0.012,14.972000000000001,0.027,16.618000000000002,0.025,5.87184,0.046562,-2.383143,0.05377,15.784969,16.186378,15.134587,0.360766,0.043109,484.383161
5.907016,-72.16347,0.0,14.068,0.027,14.867999999999999,0.017,16.467,0.022,16.488,0.136,16.372999999999998,0.016,16.305,0.051,15.466999999999999,0.01,14.632000000000001,0.018,14.197,0.037,15.773,0.014,14.379000000000001,0.026,16.273,0.018,4.392977,0.025393,-2.577292,0.025134,15.130976,15.600766,14.499979,0.189349,0.023878,322.771786
5.846364,-72.15887,1.0,13.755999999999998,0.025,14.568000000000001,0.015,15.927,0.024,16.125,0.103,16.019,0.018,15.91,0.043,15.151,0.01,14.303,0.014,13.893,0.028,15.434000000000001,0.016,14.067,0.023,15.788,0.02,4.689033,0.024941,-2.285101,0.024681,14.918025,15.322469,14.235026,0.18377,0.022977,341.206778
5.868732,-72.15837,0.0,14.200999999999999,0.024,14.984000000000002,0.014,16.712999999999997,0.036,16.624,0.142,16.561,0.023,16.371000000000002,0.061,15.575,0.01,14.747,0.015,14.378,0.041,15.884999999999998,0.011,14.504000000000001,0.022,16.403000000000002,0.025,5.264081,0.025835,-2.673904,0.026221,15.301588,15.746979,14.66396,0.121753,0.024561,326.108422
5.828923,-72.15729,0.0,12.938,0.022,13.809000000000001,0.013,15.719999999999999,0.013,15.643999999999998,0.081,15.572000000000001,0.012,15.314,0.032,14.445,0.008,13.542000000000002,0.012,13.155000000000001,0.039,14.768999999999998,0.01,13.267,0.02,15.521,0.016,5.014565,0.015484,-2.985825,0.016543,14.096357,14.604142,13.421186,0.190463,0.01444,348.149412
6.067061,-72.1554,0.0,14.691999999999998,0.073,15.521,0.039,17.044,0.054,16.945,0.166,16.874000000000002,0.035,16.764,0.078,16.07,0.024,15.245000000000001,0.039,14.850999999999999,0.035,16.311999999999998,0.029,15.09,0.063,16.871000000000002,0.048,5.716269,0.072749,-1.65616,0.112835,16.593376,16.259043,15.274829,0.063697,0.084093,271.185173
6.285557,-72.15324,0.0,14.932,0.027,15.690000000000001,0.016,17.166999999999998,0.046,17.275,0.195,17.122999999999998,0.031,17.057000000000002,0.092,16.284,0.016,15.462,0.019,15.061,0.03,16.564,0.016,15.227,0.029,16.94,0.033,6.123865,0.110883,-3.137019,0.116848,16.12692,16.45613,15.390748,0.332241,0.105348,388.496094
