RA,Dec,pop,U,err_U,Z,err_Z,F378,err_F378,F395,err_F395,F410,err_F410,F430,err_F430,F515,err_F515,F660,err_F660,F861,err_F861,G,err_G,I,err_I,R,err_R,pmra,e_pmra,pmdec,e_pmdec,g,bp,rp,par,e_par,r
13.20519,-26.73673,1.0,17.281999999999996,0.029,15.589,0.024,17.477999999999998,0.03,17.669,0.045,17.666999999999998,0.033,17.626,0.024,16.927,0.015,16.136,0.008,15.733999999999998,0.017,17.137,0.015,15.84,0.013,16.326999999999998,0.011,4.117458,0.0606,-5.739458,0.062909,16.58356,16.998667,16.0006,0.071329,0.072011,557.377336
13.15005,-26.69647,0.0,17.427,0.042,15.799000000000001,0.025,17.636,0.034,17.79,0.044,17.872999999999998,0.034,17.763,0.029,17.102,0.016,16.332,0.009,15.937999999999999,0.019,17.285,0.01,16.053,0.014,16.512,0.012,4.064633,0.068676,-5.681828,0.067392,16.777517,17.17357,16.207495,-0.002187,0.074702,428.204906
13.15705,-26.69904,0.0,18.028,0.076,16.525,0.023,18.339,0.066,18.473,0.086,18.520999999999997,0.057,18.351,0.051,17.749,0.021,17.032999999999998,0.013,16.669,0.025,17.998,0.017,16.791,0.019,17.219,0.011,4.153475,0.104476,-5.772192,0.103088,17.495771,17.895988,16.942362,0.242036,0.115885,431.077852
13.16593,-26.68633,0.0,17.990000000000002,0.048,16.467,0.023,18.165,0.054,18.361,0.076,18.453,0.057,18.345,0.05,17.717,0.02,16.97,0.011,16.588,0.022,17.928,0.015,16.713,0.017,17.144,0.013,4.103234,0.091313,-5.767165,0.096572,17.422113,17.80533,16.86666,0.136126,0.103927,380.227308
13.11722,-26.68539,0.0,17.72,0.034,16.299999999999997,0.025,17.983999999999998,0.049,18.145,0.062,18.227,0.049,18.142,0.043,17.572,0.024,16.809,0.01,16.381999999999998,0.021,17.72,0.013,16.538,0.017,16.972,0.011,4.702486,0.168157,-6.03513,0.148999,17.30737,17.626677,16.705984,0.197181,0.167574,435.206692
13.2221,-26.68354,1.0,18.149,0.07,16.732,0.031,18.363,0.066,18.678,0.117,18.698999999999998,0.079,18.587,0.052,17.988,0.031,17.242,0.014,16.83,0.024,18.149,0.02,16.966,0.019,17.409,0.013,4.129855,0.114004,-5.769744,0.118456,17.67375,18.059065,17.12567,0.084762,0.132873,379.115553
13.15348,-26.66522,0.0,17.089,0.081,15.409,0.021,17.362,0.028,17.576,0.048,17.551,0.022,17.439,0.03,16.753,0.015,15.953,0.008,15.556000000000001,0.011,16.951999999999998,0.009,15.658000000000001,0.013,16.134,0.009,4.109438,0.053403,-5.882034,0.058441,16.403507,16.81698,15.820991,0.121421,0.059762,318.066417
13.18932,-26.66433,0.0,17.47,0.032,15.87,0.021,17.726,0.037,17.934,0.066,17.881,0.041,17.812,0.025,17.2,0.017,16.395,0.011,16.009,0.017,17.363,0.014,16.126,0.012,16.576,0.013,4.187061,0.068001,-5.761306,0.090974,16.849182,17.258394,16.289665,0.174224,0.082675,294.178015
13.26002,-26.66408,0.0,17.741999999999997,0.031,16.159,0.02,18.008,0.052,18.153000000000002,0.069,18.211,0.053,18.119,0.036,17.445999999999998,0.028,16.733,0.01,16.272,0.015,17.660999999999998,0.013,16.419,0.013,16.887,0.012,4.29208,0.075347,-5.641812,0.085163,17.142912,17.542934,16.589544,-0.042492,0.093135,372.903234
13.20497,-26.6551,1.0,18.076,0.065,16.817999999999998,0.023,18.301,0.077,18.507,0.096,18.56,0.06,18.533,0.061,18.081,0.047,17.298,0.024,16.947,0.038,18.233999999999998,0.023,17.094,0.03,17.558,0.028,4.174737,0.113332,-5.799582,0.130911,17.864582,18.082308,17.221823,0.11259,0.186837,266.439545
13.16845,-26.64948,0.0,16.286,0.014,14.156,0.019,16.480999999999998,0.015,16.601,0.023,16.549999999999997,0.016,16.4,0.011,15.597000000000001,0.009,14.747,0.007,14.312000000000001,0.013,15.826999999999998,0.008,14.432000000000002,0.011,14.937000000000001,0.009,4.090235,0.030485,-5.680068,0.03213,15.210939,15.669763,14.581062,0.110708,0.034428,249.220445
13.16505,-26.64622,1.0,17.127000000000002,0.03,15.485000000000001,0.025,17.357,0.029,17.549,0.049,17.537,0.028,17.532,0.018,16.778,0.012,16.012,0.007,15.611999999999998,0.015,17.003,0.009,15.731000000000002,0.014,16.195999999999998,0.011,4.065665,0.053435,-5.774011,0.056968,16.459223,16.871696,15.875329,0.154361,0.061113,241.136459
13.23184,-26.63952,1.0,17.453000000000003,0.039,15.860000000000001,0.023,17.692,0.035,17.962,0.052,17.904999999999998,0.04,17.855,0.031,17.188,0.018,16.407999999999998,0.007,16.009,0.017,17.37,0.013,16.132,0.012,16.565,0.013,4.111001,0.066398,-5.742084,0.073864,16.859566,17.26158,16.288689,0.174723,0.080445,247.926822
13.13753,-26.6366,1.0,17.634,0.036,16.124000000000002,0.024,17.877,0.037,18.093,0.059,18.177999999999997,0.046,18.071,0.034,17.425,0.022,16.685,0.013,16.272,0.018,17.622,0.013,16.403000000000002,0.013,16.846,0.014,4.083064,0.075153,-5.710805,0.083831,17.11356,17.521082,16.568766,0.137993,0.086758,254.356391
13.20564,-26.63377,0.0,17.665,0.048,16.058,0.019,17.941,0.043,18.150000000000002,0.062,18.119,0.036,18.11,0.034,17.351,0.021,16.598,0.009,16.22,0.019,17.553,0.014,16.344,0.017,16.774,0.01,4.236708,0.071685,-5.763821,0.081322,17.040688,17.4601,16.491163,0.17554,0.088079,192.304327
13.16904,-26.63449,0.0,18.162999999999997,0.064,16.735999999999997,0.031,18.422,0.053,18.661,0.096,18.679,0.051,18.479,0.053,17.959,0.036,17.221,0.014,16.825,0.025,18.127,0.03,16.965,0.034,17.438,0.031,4.134711,0.105469,-5.680841,0.114208,17.731606,18.04702,17.138273,0.047397,0.12124,196.829587
13.13795,-26.63102,0.0,17.655,0.049,16.012,0.019,17.867,0.052,17.983,0.052,17.987,0.035,17.941,0.029,17.294,0.017,16.549,0.008,16.131,0.015,17.480999999999998,0.009,16.251,0.015,16.705,0.013,4.315468,0.067724,-5.651466,0.074272,16.99193,17.37749,16.41375,0.136946,0.077082,238.34979
13.14981,-26.62794,0.0,18.016,0.048,16.432000000000002,0.026,18.227,0.054,18.310000000000002,0.065,18.294999999999998,0.047,18.369,0.05,17.730999999999998,0.025,16.936999999999998,0.011,16.522,0.027,17.873,0.019,16.649,0.021,17.097,0.017,4.167167,0.091759,-5.665535,0.099761,17.414803,17.77877,16.840416,0.134895,0.10987,205.169555
13.14272,-26.62523,0.0,16.781999999999996,0.02,14.966,0.019,17.022,0.02,17.226,0.028,17.145,0.019,17.071,0.019,16.333,0.011,15.524000000000001,0.007,15.100999999999999,0.013,16.53,0.008,15.217000000000002,0.012,15.707,0.009,4.081868,0.040359,-5.630567,0.045532,15.975394,16.396816,15.373843,0.132216,0.04581,212.654803
13.22798,-26.6243,0.0,17.473999999999997,0.031,15.811000000000002,0.02,17.768,0.042,17.839000000000002,0.055,17.907999999999998,0.037,17.79,0.037,17.093,0.018,16.336,0.009,15.966000000000001,0.017,17.303,0.012,16.064,0.013,16.512,0.012,4.243105,0.064391,-5.804842,0.073425,16.794064,17.198397,16.232058,0.213293,0.076508,196.745229
13.16808,-26.60911,0.0,16.158,0.016,14.027,0.019,16.355,0.013,16.493000000000002,0.021,16.418,0.015,16.266000000000002,0.009,15.457999999999998,0.008,14.625999999999998,0.005,14.172999999999998,0.012,15.684999999999999,0.009,14.298000000000002,0.016,14.799,0.013,4.085462,0.030377,-5.732562,0.030343,15.102727,15.533796,14.450156,0.10499,0.030173,115.832893
13.19929,-26.61431,1.0,18.149,0.059,16.772,0.029,18.525,0.069,18.874000000000002,0.152,18.724,0.062,18.676,0.061,18.002,0.039,17.262999999999998,0.016,16.907,0.036,18.153,0.022,16.953,0.035,17.433,0.029,3.988459,0.123801,-5.989469,0.149663,17.814808,18.119701,17.217659,-0.232291,0.137969,119.294764
13.25789,-26.61143,1.0,17.122999999999998,0.028,15.464,0.021,17.352999999999998,0.03,17.572,0.043,17.564999999999998,0.028,17.509,0.024,16.787,0.01,16.018,0.007,15.599,0.013,16.968,0.011,15.716000000000001,0.012,16.182,0.008,4.194507,0.0531,-5.633366,0.059057,16.446325,16.85284,15.86824,0.080826,0.061094,246.397687
13.16468,-26.61028,0.0,17.839999999999996,0.038,16.243000000000002,0.019,18.153,0.043,18.235,0.073,18.340999999999998,0.043,18.201,0.04,17.56,0.021,16.777,0.013,16.408,0.023,17.711,0.014,16.465,0.014,16.936,0.012,4.140945,0.076651,-5.705319,0.08258,17.218325,17.618832,16.67665,-0.04744,0.084463,125.699871
13.22502,-26.6075,0.0,17.683999999999997,0.052,16.43,0.038,18.049,0.053,18.14,0.084,18.589,0.165,18.191,0.048,17.636,0.049,16.910999999999998,0.024,16.549,0.04,17.802,0.04,16.674,0.044,17.108999999999998,0.035,4.133679,0.089501,-5.870563,0.099572,17.458826,17.772268,16.860575,0.090314,0.103563,147.810255
