RA,Dec,pop,pmra,e_pmra,pmdec,e_pmdec,g,bp,rp,par,e_par,r,U,F378,F395,F410,F430,G,F515,R,F660,I,F861,Z,err_U,err_Z,err_F378,err_F395,err_F410,err_F430,err_F515,err_F660,err_F861,err_G,err_I,err_R
154.413205,-46.403451,0.0,8.156839,0.042369,-2.025251,0.043307,15.486897,15.93101,14.647221,0.071043,0.049011,40.558746,16.059235,16.034292,16.085687,16.204354,16.153102,15.559582,15.22684,14.561326,14.349476,14.036633,13.723576,13.555853,0.03,0.032,0.045,0.047,0.039,0.044,0.038,0.023,0.034,0.027,0.052,0.034
154.3984,-46.39637,0.0,8.137679,0.055339,-1.858526,0.049766,16.63604,17.07287,15.833334,0.240002,0.0551,59.289402,16.815844,16.832053,16.844538,16.924797,16.789969,16.382629,16.09693,15.474129,15.33076,14.908661,14.777591,14.752103,0.057,0.033,0.067,0.068,0.039,0.054,0.052,0.039,0.052,0.051,0.07,0.055
154.404251,-46.396716,1.0,8.455993,0.060413,-2.443609,0.058284,15.998294,15.953124,14.757164,0.500141,0.065305,56.759265,16.255844,15.737053,15.890538,16.411797,16.311969,15.649629,15.58793,14.964129,14.75276,14.407661,14.209591,14.055103,0.032,0.045,0.141,0.136,0.049,0.05,0.051,0.024,0.054,0.15,0.077,0.05
154.419819,-46.399629,0.0,8.49504,0.020244,-2.125998,0.022278,13.971972,14.569053,13.140245,0.185233,0.022627,61.606748,15.005235,14.968292,15.072687,15.010354,14.928102,14.212582,13.85484,13.097326,12.854476,12.451633,12.162576,12.004853,0.021,0.029,0.028,0.022,0.029,0.042,0.034,0.02,0.033,0.022,0.049,0.033
154.409035,-46.403529,1.0,8.214528,0.159483,-2.120321,0.170249,16.914095,16.70405,15.556211,-0.336483,0.188715,35.086984,16.743235,16.619292,17.242687,17.061354,16.901102,16.272582,16.00684,15.362326,15.028476,14.778633,14.653576,14.412853,0.123,0.17,0.118,0.12,0.107,0.095,0.143,0.127,0.139,0.153,0.108,0.138
154.4187,-46.399138,0.0,8.406311,0.069356,-1.432682,0.068978,16.631407,16.943615,15.680664,0.377596,0.072494,61.184782,17.012235,17.062292,17.155687,17.160354,17.125102,16.617582,16.28984,15.709326,15.530476,15.102633,14.883576,14.794853,0.085,0.06,0.1,0.052,0.063,0.064,0.075,0.038,0.052,0.091,0.083,0.056
154.403575,-46.403435,0.0,7.874948,0.098714,-1.631542,0.101849,15.549623,15.972397,14.706695,-0.085565,0.1063,32.537029,15.764331,15.865842,15.813821,15.945542,15.846936,15.432582,15.068816,14.478655,14.287693,13.904732,13.710285,13.559844,0.026,0.034,0.028,0.035,0.034,0.033,0.026,0.025,0.026,0.023,0.055,0.027
154.406083,-46.400241,1.0,8.428152,0.01626,-2.133704,0.016694,14.263425,14.80691,13.493385,0.177033,0.017085,44.528448,14.682331,14.666842,14.761821,14.857542,14.727936,14.210582,13.896816,13.246655,13.012693,12.710732,12.452285,12.331844,0.02,0.025,0.021,0.019,0.038,0.04,0.028,0.016,0.028,0.013,0.054,0.029
154.408038,-46.388303,1.0,8.206637,0.03987,-1.897715,0.04383,15.964936,16.44741,15.153452,0.323176,0.044828,87.761839,16.10914,16.233851,16.318153,16.35634,16.4453,15.850181,15.539308,14.933971,14.71673,14.423307,14.131171,14.026102,0.027,0.029,0.031,0.038,0.026,0.055,0.041,0.018,0.035,0.016,0.056,0.039
154.409065,-46.389965,1.0,8.732517,0.059285,-1.750316,0.064742,16.919775,17.396317,16.153925,0.135363,0.064437,82.229182,16.93514,17.025851,17.065153,17.29034,17.2543,16.616181,16.261308,15.634971,15.48773,15.113307,14.955171,14.783102,0.04,0.076,0.061,0.061,0.057,0.055,0.057,0.037,0.043,0.045,0.065,0.041
154.411991,-46.382472,0.0,8.297483,0.015369,-2.281111,0.015796,14.208467,14.829776,13.421954,0.195046,0.016973,110.079257,14.820997,14.810311,14.833774,14.902196,14.775941,14.170446,13.869021,13.173103,12.916225,12.637075,12.308098,12.183218,0.019,0.02,0.017,0.023,0.036,0.04,0.041,0.012,0.026,0.013,0.048,0.034
154.412746,-46.377377,1.0,8.421364,0.03818,-1.986718,0.039189,16.22951,16.756424,15.484951,0.231412,0.040261,128.448192,16.383997,16.412311,16.480774,16.637196,16.566941,16.061446,15.731021,15.163103,14.946225,14.576075,14.395098,14.250218,0.025,0.027,0.033,0.058,0.047,0.053,0.032,0.024,0.029,0.018,0.057,0.031
154.415865,-46.391415,1.0,8.224341,0.025502,-1.882333,0.026939,15.428126,15.991339,14.675353,0.196504,0.027584,81.862846,15.74414,15.711851,15.827153,15.92934,15.8863,15.339181,14.997308,14.408971,14.19773,13.919307,13.609171,13.491102,0.028,0.019,0.029,0.033,0.039,0.042,0.034,0.015,0.028,0.014,0.058,0.03
154.415988,-46.388107,1.0,8.396374,0.019841,-1.761946,0.01781,13.949974,14.545478,13.120571,0.196094,0.018341,93.101098,14.55314,14.528851,14.675153,14.65934,14.5753,13.914181,13.604308,12.826971,12.59573,12.245307,12.008171,11.837102,0.039,0.037,0.034,0.045,0.043,0.048,0.046,0.025,0.04,0.032,0.046,0.039
154.420175,-46.390727,0.0,8.41049,0.023418,-1.891524,0.024223,15.215995,15.799596,14.467443,0.163547,0.025261,88.651552,15.66114,15.693851,15.653153,15.82934,15.6353,15.188181,14.854308,14.208971,13.99773,13.763307,13.381171,13.264102,0.025,0.028,0.024,0.032,0.044,0.046,0.041,0.017,0.03,0.018,0.054,0.035
154.40481,-46.387292,1.0,8.444814,0.036544,-1.850562,0.039828,15.100871,15.479827,14.190907,0.25203,0.041768,90.714949,15.347477,15.321857,15.429193,15.516355,15.431833,14.790875,14.468968,13.856131,13.583759,13.257787,13.012027,12.898141,0.027,0.075,0.041,0.037,0.034,0.041,0.047,0.056,0.057,0.056,0.077,0.059
